Node,Interface,Status,Deployed_EPGs,Interface_Profile,Selector,Policy_Group,Switch_Profile
1001,eth1/37,up,None (Unbound),w7x-cohesity-09_ifp,w7x-cohesity-09_ifsel,accbundle-w7x-cohesity-09_ifpg,1001-1002
1002,eth1/37,up,None (Unbound),w7x-cohesity-09_ifp,w7x-cohesity-09_ifsel,accbundle-w7x-cohesity-09_ifpg,1001-1002
1001,eth1/33,up,None (Unbound),w7x-cohesity-05_ifp,w7x-cohesity-05_ifsel,accbundle-w7x-cohesity-05_ifpg,1001-1002
1002,eth1/33,up,None (Unbound),w7x-cohesity-05_ifp,w7x-cohesity-05_ifsel,accbundle-w7x-cohesity-05_ifpg,1001-1002
1001,eth1/3,down,None (Unbound),DellChassis_ifp,MX1000,accbundle-MX1000,1001-1002
1001,eth1/4,down,None (Unbound),DellChassis_ifp,MX1000,accbundle-MX1000,1001-1002
1002,eth1/3,down,None (Unbound),DellChassis_ifp,MX1000,accbundle-MX1000,1001-1002
1002,eth1/4,down,None (Unbound),DellChassis_ifp,MX1000,accbundle-MX1000,1001-1002
1001,eth1/44,down,None (Unbound),W7X-UCSX-FI-B-ifp,if-L1001-P44-UCSx-FI-B-P43-44,accbundle-ifpg-W7th-static-UCSx-FI-B-P43-44,1001-1002
1001,eth1/27,up,None (Unbound),W7X-UCSX-FI-B-ifp,W7X-UCSX-FI-B-ifsel,accbundle-W7X-UCSX-FI-B-ifpg,1001-1002
1001,eth1/28,up,None (Unbound),W7X-UCSX-FI-B-ifp,W7X-UCSX-FI-B-ifsel,accbundle-W7X-UCSX-FI-B-ifpg,1001-1002
1002,eth1/44,down,None (Unbound),W7X-UCSX-FI-B-ifp,if-L1001-P44-UCSx-FI-B-P43-44,accbundle-ifpg-W7th-static-UCSx-FI-B-P43-44,1001-1002
1002,eth1/27,up,None (Unbound),W7X-UCSX-FI-B-ifp,W7X-UCSX-FI-B-ifsel,accbundle-W7X-UCSX-FI-B-ifpg,1001-1002
1002,eth1/28,up,None (Unbound),W7X-UCSX-FI-B-ifp,W7X-UCSX-FI-B-ifsel,accbundle-W7X-UCSX-FI-B-ifpg,1001-1002
1001,eth1/10,up,None (Unbound),L1001-L1002-PaloAlto-vpc,L1001-1002-PaloAlto-vpc-1_10,accbundle-ifpg-PaloAlto-vpc,1001-1002
1002,eth1/10,up,None (Unbound),L1001-L1002-PaloAlto-vpc,L1001-1002-PaloAlto-vpc-1_10,accbundle-ifpg-PaloAlto-vpc,1001-1002
1001,eth1/24,down,None (Unbound),W7X-PureReplication-B_ifp,W7X-PureReplication-B_ifsel,accbundle-W7X-PureReplication-B_ifpg,1001-1002
1002,eth1/24,down,None (Unbound),W7X-PureReplication-B_ifp,W7X-PureReplication-B_ifsel,accbundle-W7X-PureReplication-B_ifpg,1001-1002
1001,eth1/34,up,None (Unbound),w7x-cohesity-06_ifp,w7x-cohesity-06_ifsel,accbundle-w7x-cohesity-06_ifpg,1001-1002
